iter	Passed	Remaining
0	136	136193
1	137	68409
2	137	45815
3	138	34506
4	139	27722
5	140	23195
6	140	19961
7	141	17536
8	142	15648
9	142	14138
10	143	12902
11	144	11873
12	144	11002
13	145	10255
14	146	9608
15	147	9042
16	147	8541
17	148	8094
18	148	7691
19	149	7326
20	150	6996
21	150	6694
22	151	6417
23	151	6163
24	152	5930
25	152	5714
26	153	5515
27	153	5329
28	154	5156
29	154	4995
30	154	4844
31	155	4703
32	155	4570
33	156	4445
34	156	4327
35	157	4215
36	157	4110
37	158	4010
38	158	3915
39	159	3825
40	159	3739
41	160	3658
42	160	3580
43	161	3506
44	161	3434
45	162	3367
46	162	3302
47	163	3240
48	163	3180
49	164	3122
50	164	3067
51	165	3013
52	165	2962
53	166	2913
54	166	2865
55	167	2819
56	167	2775
57	168	2733
58	168	2691
59	169	2651
60	169	2613
61	170	2575
62	170	2539
63	171	2504
64	171	2470
65	172	2437
66	172	2404
67	172	2370
68	173	2340
69	173	2311
70	174	2282
71	174	2254
72	175	2227
73	175	2201
74	176	2175
75	176	2150
76	177	2126
77	177	2102
78	178	2079
79	178	2057
80	179	2035
81	179	2013
82	180	1992
83	180	1971
84	181	1950
85	181	1930
86	181	1909
87	182	1891
88	182	1872
89	183	1854
90	183	1837
91	184	1820
92	184	1803
93	185	1786
94	185	1770
95	186	1754
96	186	1739
97	187	1724
98	187	1709
99	188	1694
100	188	1680
101	189	1664
102	189	1650
103	190	1637
104	190	1624
105	191	1610
106	191	1598
107	191	1585
108	192	1573
109	192	1561
110	193	1549
111	193	1538
112	194	1526
113	194	1515
114	195	1503
115	195	1492
116	196	1481
117	196	1470
118	197	1459
119	197	1449
120	198	1439
121	198	1429
122	198	1418
123	199	1408
124	199	1398
125	200	1389
126	200	1380
127	201	1370
128	201	1361
129	202	1352
130	202	1344
131	203	1335
132	203	1327
133	204	1319
134	204	1311
135	205	1303
136	205	1295
137	205	1286
138	206	1279
139	206	1271
140	207	1263
141	207	1256
142	208	1249
143	208	1241
144	209	1234
145	209	1227
146	210	1220
147	210	1213
148	211	1206
149	211	1200
150	212	1193
151	212	1186
152	213	1180
153	213	1174
154	214	1167
155	214	1161
156	215	1155
157	215	1149
158	216	1143
159	216	1137
160	217	1131
161	217	1125
162	218	1120
163	218	1114
164	219	1109
165	219	1103
166	220	1098
167	220	1092
168	221	1087
169	221	1082
170	222	1077
171	222	1071
172	223	1066
173	223	1061
174	224	1056
175	224	1051
176	225	1046
177	225	1041
178	226	1036
179	226	1031
180	226	1026
181	227	1021
182	227	1016
183	228	1012
184	228	1007
185	229	1002
186	229	998
187	230	993
188	230	989
189	231	985
190	231	980
191	232	976
192	232	972
193	233	968
194	233	963
195	233	959
196	234	955
197	234	951
198	235	947
199	235	943
200	236	939
201	236	935
202	237	931
203	237	928
204	238	924
205	238	920
206	239	916
207	239	913
208	240	909
209	240	905
210	241	902
211	241	898
212	242	894
213	242	891
214	243	887
215	243	884
216	244	880
217	244	877
218	245	873
219	245	870
220	246	867
221	246	863
222	246	860
223	247	857
224	247	854
225	248	850
226	248	847
227	249	844
228	249	841
229	250	838
230	250	834
231	251	831
232	251	828
233	252	825
234	252	822
235	253	819
236	253	816
237	254	813
238	254	810
239	255	807
240	255	805
241	256	802
242	256	799
243	257	796
244	257	793
245	258	790
246	258	787
247	258	785
248	259	782
249	259	779
250	260	777
251	260	774
252	261	771
253	261	769
254	262	766
255	262	763
256	263	761
257	263	758
258	264	756
259	264	753
260	265	750
261	265	748
262	266	746
263	266	743
264	267	741
265	267	738
266	268	736
267	268	733
268	269	731
269	269	728
270	270	726
271	270	724
272	270	721
273	271	719
274	271	716
275	272	714
276	272	712
277	273	710
278	273	707
279	274	705
280	274	703
281	275	701
282	275	698
283	276	696
284	276	694
285	277	692
286	277	690
287	278	688
288	278	685
289	279	683
290	279	681
291	280	679
292	280	677
293	281	675
294	281	673
295	282	671
296	282	669
297	283	667
298	283	664
299	284	662
300	284	660
301	285	658
302	285	656
303	285	654
304	286	652
305	286	650
306	287	648
307	287	646
308	288	644
309	288	642
310	289	641
311	289	639
312	290	637
313	290	635
314	291	633
315	291	631
316	292	629
317	292	627
318	293	626
319	293	624
320	294	622
321	294	620
322	295	618
323	295	616
324	296	614
325	296	613
326	297	611
327	297	609
328	298	607
329	298	606
330	299	604
331	299	602
332	299	600
333	300	599
334	300	597
335	301	595
336	301	593
337	302	592
338	302	590
339	303	588
340	303	587
341	304	585
342	304	583
343	305	582
344	305	580
345	306	578
346	306	577
347	307	575
348	307	574
349	308	572
350	308	570
351	309	569
352	309	567
353	310	565
354	310	564
355	311	562
356	311	561
357	311	559
358	312	557
359	312	556
360	313	554
361	313	553
362	314	551
363	314	550
364	315	548
365	315	547
366	316	545
367	316	544
368	317	542
369	317	541
370	318	539
371	318	538
372	319	536
373	319	535
374	320	534
375	321	532
376	321	531
377	321	529
378	322	528
379	322	526
380	323	525
381	323	523
382	324	522
383	324	521
384	325	519
385	325	518
386	326	516
387	326	515
388	327	514
389	327	512
390	328	511
391	328	509
392	329	508
393	329	507
394	330	505
395	330	504
396	331	502
397	331	501
398	332	500
399	332	498
400	333	497
401	333	496
402	334	494
403	334	493
404	335	492
405	335	490
406	335	489
407	336	488
408	336	486
