iter	Passed	Remaining
0	138	138470
1	139	69562
2	140	46596
3	141	35131
4	141	28248
5	142	23645
6	143	20358
7	144	17890
8	145	15969
9	145	14448
10	146	13185
11	147	12123
12	147	11221
13	148	10444
14	148	9772
15	149	9212
16	150	8692
17	150	8229
18	151	7819
19	152	7453
20	152	7118
21	153	6812
22	153	6532
23	154	6275
24	154	6039
25	155	5821
26	155	5619
27	156	5431
28	157	5257
29	157	5099
30	158	4949
31	158	4808
32	159	4676
33	160	4552
34	160	4434
35	161	4323
36	162	4218
37	162	4121
38	163	4037
39	164	3953
40	165	3869
41	166	3789
42	166	3713
43	167	3640
44	168	3570
45	168	3503
46	169	3441
47	170	3383
48	171	3326
49	172	3271
50	172	3217
51	173	3165
52	174	3115
53	175	3071
54	176	3028
55	177	2984
56	177	2941
57	178	2899
58	179	2859
59	180	2820
60	180	2782
61	181	2752
62	182	2720
63	183	2688
64	184	2656
65	185	2624
66	186	2593
67	187	2563
68	188	2538
69	189	2514
70	190	2488
71	191	2462
72	191	2436
73	192	2411
74	193	2387
75	194	2367
76	195	2344
77	196	2322
78	197	2300
79	198	2280
80	199	2260
81	200	2242
82	200	2220
83	201	2202
84	203	2185
85	203	2166
86	204	2149
87	205	2131
88	206	2116
89	207	2101
90	208	2084
91	209	2068
92	210	2052
93	211	2036
94	212	2021
95	213	2007
96	214	1995
97	215	1981
98	216	1967
99	217	1953
100	217	1939
101	218	1927
102	219	1914
103	220	1902
104	221	1889
105	222	1876
106	223	1865
107	224	1854
108	225	1843
109	226	1833
110	227	1822
111	228	1811
112	229	1800
113	230	1790
114	231	1780
115	232	1771
116	233	1761
117	234	1751
118	235	1742
119	236	1733
120	237	1723
121	238	1714
122	239	1705
123	240	1697
124	241	1689
125	242	1680
126	243	1670
127	244	1663
128	245	1654
129	246	1648
130	247	1640
131	248	1631
132	249	1623
133	250	1616
134	251	1609
135	252	1601
136	252	1593
137	253	1585
138	254	1577
139	255	1570
140	256	1563
141	257	1554
142	258	1547
143	259	1540
144	260	1534
145	261	1527
146	261	1520
147	263	1514
148	263	1507
149	264	1500
150	265	1494
151	266	1487
152	267	1481
153	268	1475
154	269	1469
155	270	1464
156	271	1458
157	272	1452
158	273	1446
159	274	1440
160	274	1433
161	275	1427
162	277	1422
163	278	1417
164	278	1411
165	279	1405
166	280	1400
167	281	1396
168	282	1390
169	283	1385
170	284	1379
171	285	1374
172	286	1369
173	287	1366
174	288	1361
175	289	1356
176	290	1351
177	291	1346
178	292	1341
179	293	1337
180	294	1333
181	295	1329
182	296	1324
183	297	1319
184	298	1314
185	299	1309
186	300	1305
187	301	1301
188	302	1297
189	303	1292
190	304	1288
191	305	1283
192	306	1280
193	307	1276
194	308	1272
195	309	1267
196	309	1263
197	310	1258
198	311	1254
199	312	1251
200	313	1247
201	314	1243
202	315	1239
203	316	1235
204	317	1230
205	318	1227
206	319	1225
207	320	1221
208	321	1217
209	322	1213
210	323	1209
211	324	1206
212	325	1203
213	326	1199
214	327	1195
215	328	1192
216	329	1188
217	330	1184
218	331	1181
219	332	1177
220	333	1174
221	334	1170
222	334	1166
223	335	1163
224	336	1159
225	337	1157
226	338	1153
227	339	1150
228	340	1147
229	341	1143
230	342	1140
231	343	1137
232	344	1134
233	345	1130
234	346	1127
235	347	1123
236	348	1120
237	348	1117
238	349	1114
239	350	1110
240	351	1107
241	352	1104
242	353	1100
243	354	1097
244	355	1094
245	356	1091
246	357	1088
247	357	1085
248	358	1082
249	359	1079
250	360	1076
251	361	1073
252	362	1071
253	363	1068
254	364	1064
255	365	1061
256	366	1058
257	367	1056
258	368	1053
259	369	1050
260	370	1047
261	370	1044
262	371	1041
263	372	1039
264	373	1036
265	375	1035
266	376	1032
267	377	1030
268	378	1027
269	379	1025
270	380	1022
271	381	1020
272	382	1018
273	383	1015
274	384	1013
275	385	1011
276	387	1011
277	388	1008
278	389	1006
279	390	1004
280	391	1001
281	392	998
282	393	996
283	394	994
284	395	991
285	396	989
286	397	986
287	398	983
288	398	981
289	400	979
290	401	977
291	402	975
292	403	973
293	404	970
294	405	968
295	406	967
296	407	965
297	408	962
298	409	960
299	410	958
300	411	956
301	413	954
302	414	953
303	415	951
304	416	949
305	417	947
306	419	946
307	420	944
308	421	941
309	422	939
310	423	937
311	424	935
312	425	933
313	426	931
314	427	929
315	428	927
316	429	925
317	430	924
318	431	921
319	432	919
320	433	917
321	434	914
322	435	912
323	436	910
324	437	908
325	438	907
326	439	904
327	440	902
328	441	900
329	442	898
330	443	896
331	444	894
332	445	892
333	446	890
334	447	888
335	448	886
336	449	884
337	450	882
338	451	880
339	452	878
340	453	876
341	454	874
342	455	872
343	456	870
344	457	869
345	458	867
346	459	864
347	460	862
348	462	861
349	463	859
350	463	857
351	465	856
352	466	854
353	467	852
354	468	851
355	469	849
356	470	847
357	471	845
358	472	843
359	473	842
360	474	840
361	475	838
362	476	836
363	477	834
364	478	832
365	479	830
366	481	829
367	482	828
368	483	826
369	484	824
370	485	822
371	486	820
372	487	819
373	488	817
374	489	815
375	490	813
376	491	811
377	492	809
378	493	808
379	494	806
380	495	804
381	496	802
382	497	800
383	498	798
384	499	797
385	500	795
386	501	793
387	502	792
388	503	790
389	504	788
390	505	786
391	506	785
392	507	783
393	508	781
394	509	780
395	510	778
396	511	776
397	512	775
398	513	773
399	514	771
400	515	770
401	516	768
402	517	766
403	518	765
404	519	763
405	520	761
406	521	759
407	522	757
408	523	756
409	524	754
410	525	752
411	526	750
412	526	749
413	527	747
414	528	745
415	529	743
416	530	742
417	532	741
418	533	739
419	534	737
420	534	735
421	536	734
422	537	732
423	538	731
424	539	729
425	540	727
426	540	725
427	541	724
428	542	722
429	543	721
430	544	719
431	545	717
432	546	716
433	547	714
434	549	713
435	550	711
436	551	709
437	552	708
438	552	706
439	553	704
440	554	703
441	556	701
442	557	700
443	558	698
444	559	697
445	559	695
